x1lliihq 4,x1lliihq 11,x1lliihq 12,x1lliihq 13
WE’RE HIRING – DATA ENTRY (REMOTE),"Position: Data Entry
Type: Full-time / Part-time
Schedule: Flexible",Malaysia Threads,"Full-Time (Mon–Fri):
• 8:30 AM – 2:30 PM
• 2:30 PM – 8:30 PM"
I am so flabbergasted at the MOF's suggestion of budget cuts to the health and education sector..,"Come on lah.. these 2 sectors have been stretched beyond its limit with the current allocated budget, and you dare to suggest such ridicilous move, konon² utk jimat sebab iran war",Malaysia Threads,"And yet, ko boleh teruskan event rain rave"
Famous national animals,"China: Panda
US: Bald eagle
Malaysia:",,
BUSY BUSY BUSY TGH CLASSS,,5sos Malaysia,
"Kuala Lumpur! Out and about exploring the city! 
#malaysia #kualalumpur #explore #travel",,,
Bahasa Malaysia is the national language of Malaysia 🇲🇾,Bahasa Melayu is the national language of Brunei 🇧🇳,,Bahasa Indonesia is the national language of indonesia 🇮🇩
"Gonna joined the flex, hehehhe secured the ticket while in the office within half an hour.. alhamdulilahh! Remembered that one time i used amnesia as my ringtone when i was 11 and finally can meet them irl that's crazyyy",,5sos Malaysia,
"Hello, Malaysia! 🇲🇾 The Loved One will be showing in cinemas there tomorrow! Hope you’ll like it. Sending ❤️! 🌅",,,
I know many of you are excited that they are coming to perform. But im not sure how many of you are aware that the band especially M Shadows is Pro Israel,I Was their fan too..noh excited beli tiket 239 masa first concert 2012 duduk bawah panas tunggu gate bukak..tapi lepas pernah nampak tweets dekat X dulu..im no longer their fan..Its not just about them pernah perform sana but kuat tunjuk support to zionist,A7X Live In Malaysia,Tak rugi pun kalau tak pergi..But hey if u still decide to go then well you do you
"Malaysians these days are so sensitive and annoying. You know when there are concerts in Malaysia—like Thai, Korean, or others—there are always so many netizens criticizing them. The reason is because Malaysia has Muslims, and they say concerts aren’t suitable here because there’s a lot of “maksiat” (sinful behavior). What the heck, bro!! I’m telling you, in this world right now, “maksiat” exists everywhere. Actually, you shouldn’t judge people based on religion.",,Rain Rave Water Music Festival 2026,
Done register Malaysia Marathon 2026 ✅ Anyone lagi ???,,Running Threads,
just me or website is crashing??,,5sos Malaysia,
"Petition to ban identity politics (following Singapore example) in Malaysia. So no more race-based / religion-based organisations can be a political party or compete in elections. That includes: MCA, UMNO, MIC, DBNA, RKS, PAS, etc.",,,
just me or website is crashing??,,5sos Malaysia,
"This is the true picture of Malaysia today. Most of the time, everyone lives harmoniously and we help each other in our daily lives. Still, we have a group of religious extremists who think they are the kings of the land and that all non-Muslims who demand their rights here are wrong or unacceptable. So every country has its toxic groups — Americans have MAGA fans and we have extremists.",,,
Thinking of starting a coffee farm in Malaysia? 🌱,"We’re currently building one ourselves at lojing ~1,000m",,and we’re also growing seedlings for those who want to start.
Hiring accountant manager in Puchong,,Kuala Lumpur Malaysia,
"WTS 2 tix 5sos, dm me if interested !",,5sos Malaysia,
wdym im willing to spend so much money and still couldn’t get my desired ticket???😭why the system like that weh can limit tickets per person and not 10 each???,,5sos Malaysia,
"Question 🙋‍♀️ for standing ticket, the seat number is our queue number ke? Or queue number kita tak dapat lagi",,5sos Malaysia,
Anyone WTS Verknipt ticket????,,Verknipt Malaysia 2026,
PLEASE SIAPA ADA EXTRA GENERAL STANDING TICKET FOR 5SOS PLEASE HMU I NEED ONLY 1 TIX,,5sos Malaysia,
"I just want to let you guys know that we have a lot of cancer screening in Malaysia available in Klinik Kesihatan targetted for certain population free of charge! . Some of it include screening for Cervical cancer (pap smear), Colorectal Cancer (stool iFOBT) , breast cancer (mammogram). If only general population understand how important these screenings are. Educate you friends!",,,
"MCR, Simple Plan, and Evanescence all in the same week 😫… gila laaa... sakit pinggang oii kalau semua ni kana hadir 😂😂😂 and my wallet will be crying too.",,concert Malaysia,
"Hi ada tak nk join my ticketing service ? I charge rm20 per tix , available only general standing , vvip standing , CAT 5 & CAT 1 only left slots",,5sos Malaysia,
Hello anyone ada extra standing tiket pleasee. Serious buyerr,,5sos Malaysia,
secured cat 2 for 5sos yeayy!!! had lots of empty seats,,5sos Malaysia,
this is so concerning belum sale dah crash website golive💔☹️,,5sos Malaysia,
Hiring accountant manager in Puchong,,Kuala Lumpur Malaysia,
Anyone from Malaysia need anything from Jakarta? I’m going next week!,,,
"Am in Pahang, Malaysia, at the invitation of His Royal Highness Al-Sultan Abdullah Ri’ayatuddin Al-Mustafa Billah Shah and Her Royal Highness the Tengku Ampuan of Pahang Tunku Azizah Aminah Maimunah Iskandariah. I will also be travelling to Terengganu.","On the drive to Kuantan, I visited the Malayan Tiger Conservation Centre. The Malayan tiger is critically endangered, and seeing these magnificent animals up close is a stark reminder of the need to protect the species. – LHL",,
SO THANKFUL FOR MY FRIEND IM GOING TO MEET 5SOS NAK NANGISSSS SECURED GENERAL STANDING 🙇🏽‍♀️ hehehehe,,5sos Malaysia,
Hii I will be doing ticketing service for 5SOS IN KL 🇲🇾,"📅 17 November 2026
📍 Unifi Arena
💸 Service Charge: RM30 / ticket
❗ 100% Fully Refundable
📩 DM for proof",5sos Malaysia,"General Sales:
✅✅✅
DM to secure your slot 📩"
"Anyone ada nak tak 5sos can dm me, put or own details ya, I have presales code",,5sos Malaysia,
Looking for a reliable Malaysia property agent who is strong in Putra Heights / Subang Jaya landed homes.,Need help selling my parents’ inter-terrace house.,Malaysia Property,"If you are the right agent, DM me."
"Hi I’m Rinah, a self-taught artist from Selangor, Malaysia. I love painting dreamy landscapes, they’ve been my biggest inspiration lately 🩷. Where are you from?",,,
Malaysia 🌆🇲🇾,,,
"Weh finally my TS can secured my ticket, at first baca tu almost nak nangis ye :)) Anyone with vip standing, hope we can meet there soon!!",,5sos Malaysia,
good morning guys!! just sharing incase anyones wondering :) GOOD LUCK TODAYYYYY 🌟,,5sos Malaysia,
Rain Rave.,1. Terrible name. Just terrible.,Malaysia Threads,"2. Absolutely no cultural connection to Malaysian culture at all. Kementerian Pelancongan, SENI Dan Budaya. Where is the SENI + BUDAYA in this?"
Open ticketing service 5sos in Malaysia. Use ur personal data and self payment. Fee after secured🤗,,5sos Malaysia,
Di sosmed netizen Indonesia heboh menggelar Malaysia sebagai Malaydesh .. Tapi hakikat nya ayoh lihat sendiri .Indodesh atau Malaydesh 🤫🤫🤫🤫,,,
📢 Calling all Melaka-based KOLs!,We’re inviting you to be among the FIRST to review a nostalgic dining brand opening soon in Melaka. 👀,malaysia kol,"Get exclusive early access as one of the first to dine at the restaurant. ✨ Enjoy classic faves you’ve missed, while meeting fellow KOLs and the team behind the brand."
"Ini Kali lah….what we can buy if broke Malaysia Half and Marathon record at Malaysia Marathon 2026.
*price variants*
#malaysiamarathon26",,,
"promoting linen for malaysia weather tapi kena pakai inner, isnt it defeating the purpose",,,
"We go againn!! 💪🏻🔥 sebulan sebelum KLSCM, i nak buat as long run🤭",,malaysia marathon 2026,
"STOP THE BULLSHIT,",Menteri,Gajah Malaysia,
Manage to secure 27X tickets for today's presale. All buyers will be contacted shortly,,5sos live in malaysia,
"WTS : 5 SOS TICKET
CAT 4 SEC 403 (1 SEAT ONLY)",ANYTHING CAN PM ME 💪🏼,5sos Malaysia,
"Arghhhhhhh!!!! 😭😭😭
See you peeps!!",,5sos Malaysia,
Hi anyone got extra tix for gen standing x2 🥹 serious buyer here,,5sos Malaysia,
Had a meaningful experience exploring the University of Cambridge while representing Bank Negara Malaysia.,"We had the pleasure of meeting with Mr. James, Global Engagement Manager, to discuss potential opportunities for deeper collaboration between Bank Negara Malaysia and the University of Cambridge. It was an insightful exchange on strengthening global partnerships, knowledge sharing, and future initiatives.",,
Does anybody in the KL TCG community know of this guy? I need to find his ig or contact at least cause he’s the best to deal with ! Always kind always fair always accommodating ! Love dealing with him,,Pokemon Malaysia,
October 1996: Michael Jackson waves to a crowd of fans from the balcony of his Presidential Suite at the Concorde Hotel during the Malaysian leg of his HIStory World Tour.,"Left image: the Petronas Twin Towers are shown as a work in progress, with cranes still finalizing the spires. Floating nearby, a tribute balloon carries the message: “Michael, We’ll Miss You.”",Malaysia Threads,Photo Credit: FB Concorde Hotel Kuala Lumpur
People COMPLAIN TIONG’s leadership about events like this..,but don’t realise what it brings.,Malaysia Threads,Tourism alone contributed almost RM900 billion to Malaysia’s GDP (2023–2025)
"S Sivasangari continues to make Malaysia proud after producing a stunning upset over top seed and world No. 3 Amina Orfi to storm into the Grasshopper Cup 2026 final in Zurich, Switzerland.","Keep soaring, Sivasangari. The nation is behind you. 🇲🇾",,Credits :
"Wishing all the best to everyone who is getting their tix tomorrow for 5SOSinKL, but not to the scalpers",,5sos Malaysia,
"Hey Content Creators based in Malaysia! 🇲🇾
I'm looking for creators in the Perfume, Fashion, and Lifestyle niche to collaborate with!","Requirements:
Min. 1k followers on IG & TikTok.
Based in or able to travel to KL.",Kol malaysia,"Event Details:
📍 Sentul Depot, KL"
JUST GOT MY 5SOS TIX GUYS 🥹🥹🥹 VIP STANDING 🥳🥳🥳,,5sos Malaysia,
anyone still wants vip seating tix go dm her!!!!!,,5sos Malaysia,
"🇬🇧 Malaysia’s elephants, Dara, Amoi, and Kelat were sent to Tennoji Zoo in March 2026.","But the environment there is not suitable for them. Within just one month, Kelat’s tusks were broken. Elephants are not diplomatic gifts. They are living beings.",dara amoi kelat,"We urge those responsible to return them to Malaysia, where they were born and raised."
Still can’t believe what happened today!! AHHH 18y.o me would be so happy!!,,5sos Malaysia,
Anyone wanna sell me their 5sos general standing tix? 😭😭 if not the vip standing HELP A GIRL OUTTTTT,,5sos Malaysia,
Help ToT me and my bf first time buying tickets and we ended up pick different seats cos of limit. Is it possible for us to sit together?,,5sos Malaysia,
"850 medical students of New Castle University Malaysia(Numed) in limbo as UK government block ""UK degrees' from Malaysia.",,,
"This is GENIUS! Mini telephoto kit setup anyone? 👀
Would you get the vivo X300 FE just for this? I know I would 🤭",#vivoX300FE,,
Enthralled by what’s happening in Malaysia right now - the NS drama is 👀👀. Malaysian politics so much more exciting than SG politics. 😆,,,
whoever buys and resell ni i'll cry bc why T-T some of us didnt stand a chance at all atp,,5sos Malaysia,
"Hey guysss just wanna warn y’all about this person. Agreed to trade tickets (which was my fault i admit) but end up kena ghosted, scammed and blocked. She also ended up listing my ticket. (And yes I’ve learned my lesson) Just a PSA to those who wanna buy from her.  Stay safe guys🫶🏼",,5sos Malaysia,
"Subsidi bensin tu untuk WARGANEGARA. Awak tu Indonesian. Kenapa buat video nangis2? Kena ada IC, bukan visa kerja, bukan visa spouse. Please jangan mengeluh tentang pemerintahan Malaysia. Saya tahu sisi gelap kedua2 negara. Kalau nak cerita tentang pemerintahan Indonesia… hmmmmmm gapapa la, nanti aja. Cuma tu lah ayat dia ‘sesuatu yang mudah, jangan lah dibuat sulit?’ 🤦🏻‍♂️",,,
Just made in MALAYSIA! ❤️🤘🏻🔥,,music gear,
"To the owner of this car, you are an IDIOT who almost caused an accident!! DASHCAM cameras are everywhere. WATCH OUT!!",,Malaysia Threads,
Serious question. Berapa actually gaji tiktok live host?,,TikTok Live Host Malaysia,
"Hi, my name is Kai Hung. I'm an independent bag designer based in Penang, Malaysia and this is my signature bag design, the Blooming Flower Bag 🌺",,,
"🏡 Jan 2026 🏡 Loan Interest Rate
1.	Affin Bank – 3.90%
2.	Alliance Bank – 3.75%
3.	AmBank – 3.70%
4.	Bank Islam – 3.55%
5.	Bank of China – 3.60%
6.	Bank Rakyat – 3.70%
7.	BSN – 3.75%
8.	CIMB Bank – 3.85%
9.	Hong Leong Bank – 3.60%
10.	HSBC – 3.60%
11.	MBSB Bank – 3.90%
12.	Maybank – 3.55%
13.	OCBC Bank – 3.50%
14.	Public Bank – 3.55%
15.	RHB Bank – 3.55%
16.	Standard Chartered – 3.60%
17.	UOB Bank – 3.55%
18.	Al-Rajhi Bank – 3.65%
19. AIA - 4.99%",Note: subject to loan amount and profile scoring,Malaysia Threads,
"I’m not against partying, I rave too. But this RainRave feels a bit turn off for Malaysia, especially under tourism. It looks more like Songkran than showcasing what actually represents Malaysia. We have our own identity bro. culture, balance, and a more grounded vibe. haihhh honestly, a bit malu. Wtf man. Rave parties are about music, energy. Nothing wrong with that. But context matters, what works in one place doesn’t always fit another.",,,
"letting go Section 307, 2x tickets
Rfs; managed to grab VIP😫😭
Dm if int",,5sos Malaysia,
15 year old me must be proud :’)),,5sos Malaysia,
I did not in fact get any tickets lmaoo I was aiming for standing but couldn’t get any 🫠 seating ada jeee tapi tu la,,5sos Malaysia,
"Congrats tuan... Always make sure kita make our own decisions... Hehe... By the way, saya Hazmi, mr Moomoo Malaysia. If nak belajar tips and tricks, boleh je melawat3 thread saya.",More,Baru nak berjinak-jinak. Mintak tunjuk ajar dan tips sifu2 moomo semua 😆🙏🏻,Like
Hi everyone here’s my KLIF 2026 Catalogue ✨,It’s my first time exhibiting in Malaysia and I am so excited!!! It’s also my 2nd time exhibiting outside of Indonesia and I am so honored for the opportunity (and very nervous) 💛 I’m bringing all of my doggo merch so please be nice to them and greet them!! 🥹,,See you all at B-601 (6th floor) at GMBB this Friday 🫶
"My second time seeing Saosin in Malaysia, still not over it.
The crowd was older but the energy wasn't. The moment the music started, everyone knew every word, very chorus, a room full of people who have been holding onto these songs for years and everyone still knew every word.",,saosin,Audio is muted
Malaysia 🇲🇾,,,
Morning vibes Penang Hill 📍,,Penang Malaysia,
Anyone wants? Standing cat 3 x2 in cart,,5sos Malaysia,
"setiap sholat eid di Malaysia terus ngeliat cwe cwe malay langsungg nyesss bgt cantik ii bgtt, cantik nya yg bnran cantik idung mancung rahang tegas pipi nya tirus tirus😭😫 terus makeup sama tone kulit nya juga nyatu njayy, ngga yg abu abu, pokonya cantik nya cwe malay sm cwe indo beda bgt haha tapi same ii cantik.",,,
those who manage to get general standing during presale u guys pakai magic apa😭🤌🏻,,5sos Malaysia,
"Hai teman-teman di Indonesia. Kalau kalian mahu tahu, menteri-menteri kami telah melakukan pengkhianatan kepada harta negara kami. Iaitu 3 ekor gajah yang tidak ternilai. Menteri kami telah menjual 3 gajah tidak berdosa ini kepada Zoo Tennoji di Jepang. Jika kalian mahu tahu, Zoo Tennoji itu adalah zoo terburuk di sana. Bahkan hampir semua zoo di Jepang ada rekod yang sangat buruk dalam menjaga haiwan-haiwan di dalam nya. Sekian berita dari Malaysia ku tercinta. Sebarkan pada teman-teman kamu😎",,Gajah Malaysia,
Turns out:,"• getting ill is expensive
• shitty food is expensive 
• being fat is expensive
• poor fitness is expensive",,It costs Malaysia RM64.3 billion a year
"I'm always sad whenever i leave malaysia 🥹
Kayak suka aja  vibes disini. As a Chinese, Malaysia just feels more like home. Multicultural & I feel more at ease here.”",,Malaysia Threads,
Hi Malaysia! Hello from Coachella here 2026! Hehe 🤍🎶🩷🇺🇸,,,
Hiii ada sesiapa interested in buying vip standing tickets? I have 3 extra tix to sell (bcs managed to get the vip seated heeheh),*used TS for these tickets,5sos Malaysia,can dm
YALL I GOT VIP STANDINGGGG😭😭😭😭,,5sos Malaysia,
Embassy of Egypt in Kuala Lumpur / Malaysia الصفحة الرسمية,"Dear H.E. Kareem Al Sadat,",,I’d like to take this opportunity to welcome you to Malaysia and hope that Your Excellency is well and enjoying your stay so far.
my ticket in 2016 vs 2026 🤟🏻🎸,,5sos Malaysia,
MALAYSIA HAS THE BEST CROWD!!!,,ONE OK ROCK DETOX Asia Tour 2026,
"Last night in KL felt more than just a show cus it felt like healing. Every note and every scream hit deeper than words. To ONE OK ROCK, thank you for turning pain into something beautiful.
And to Taka Moriuchi… even when you weren’t at your best, you still gave us everything you had. That kind of heart doesn’t go unnoticed. Malaysia felt you, every second of it.
We didn’t just attend the Detox Tour but instead, we lived it. OORers Malaysia will carry this night forever. 🖤",,ONE OK ROCK DETOX Asia Tour 2026,
YALL I GOT VIP STANDINGGGG😭😭😭😭,,5sos Malaysia,
"Hi Mothership team, I’d like to flag a viral case in Malaysia involving a Singaporean individual that has sparked public concern over alleged payment issues and conduct toward local service workers.","The matter has raised wider discussions on accountability, respectful behavior and social responsibility across borders.",,"Given the public interest and the broader discussion around social responsibility, this case may be relevant for awareness among Singaporean audiences as well."
Hello everyone 😊,We’re excited to announce that our office will be conducting an open interview session from 4th to 11th May 2026.,hiring,"What we’re looking for:
• Fluent in Bahasa Malaysia & English
• Skilled in Microsoft PowerPoint, Excel, and Word
• Strong communication abilities (essential)
• Minimum qualification: Diploma or Degree (CGPA 3.0 and above)"
IM SO SKEK ITS LITERALLH 3 MORE MINS,,5sos Malaysia,
Hi Threads 👋,I’m Himawan from Sutanto Photography.,Hotelmarketing,"Hotel & Resort photographer working with hotels & resorts across Asia Pacific: Indonesia, Malaysia, Singapore, Maldives, and beyond."
"Recently, I received an email from Malaysia Airlines about a change to my family seating and I couldn’t help but feel anxious. As my family is  plus-sized traveler, I had thoughtfully selected a seat that would allow me to fly comfortably. I hesitated before calling, expecting a long wait but instead, I was met with one of the best helpline experiences. The officer answered quickly, handled everything efficiently, & showed genuine understanding. I’m truly grateful for their support. My next fav",,Malaysia airline,
One of my favorite places in Malaysia for a weekend getaway. Only 10 mins from KL…,Audio is muted,Audio is muted,Audio is muted
Still wondering if your salary is “normal”?,Quick reality check (Malaysia salaries):,CareerTips,"Sales: RM3k – RM8k+ (with commission)
Accountant: RM3k – RM7k
Marketing: RM3k – RM6k
Customer Service: RM2.5k – RM4k
F&B: RM2k – RM3.5k
Retail: RM2k – RM3.5k"
How far would you zoom into? 🤔 Also would you carry this around in your pocket? Lmk!,#vivoX300Ultra,,
dahlah first time tak secure ticket 😭,,5sos Malaysia,
anyone got vip standing juga for 5sos in kl? i need a friend😭😭,,5sos Malaysia,
Hi threads community!,I'm hosting the next networking meetup.,Malaysia Threads,"Purpose : Meet & network with other entrepreneurs. Discuss business, ideas, collabs (if any)."
Tix secured for today’s TS slots (artist presale) 🎟️❤️,"CAT5 4x
CAT4 1x
VIP 2x
CAT2 2x",5sos live in malaysia,Extra slots opened for 1pax ticket! DM us now 🫶🏻🫶🏻🫶🏻
quickest ticketing ever hehehehehe. rlly can't wait,,5sos Malaysia,
golive you must be FUCKING kidding me,,5sos Malaysia,
anyone got vip standing juga for 5sos in kl? i need a friend😭😭,,5sos Malaysia,
Thank you for accepting us to be part of this valuable session. 🙏,"Building in Malaysia can be a lonely journey,
especially when you’re actually shipping. 🇲🇾",Malaysia Threads,Most of the time:
"9️⃣ 🔥 EVENT CREW KL
📍 Pasar Seni
💰 RM400/jam
• 15 orang
• Energetic & fast
📩 Apply today!",,Malaysia Threads,
First debut HM 🫠 done register huhu kene start training,,malaysia marathon 2026,
IM GONNA SEE THE BAND THAT I LOVED SINCE MY TEENAGE YEARS 😭🫶🏻,,5sos Malaysia,
SAVE THIS FOR YOUR NEXT TRIP TO ✈️ KUCHING.,"from Brunei 🇧🇳 to the hidden this small town gem - here’s your 1 stop travel guide kit reference. airbnb / transportation info / family-friendly spots, viral places. all are here!",VisitMalaysia2026,
Debut HM incoming… 👀,,Malaysia Marathon,
This is my third time participating in,"I’m really happy with my decision because I had such a good time with people! Catching up with friends, chitchatting with so many artists and having little conversations with Humana fans 🥰🩷",Tag indicator,"!!!Last year I travelled to China and couldn’t be there in person, so this year I decided to stay in Malaysia to join KLIF, meet you guys and hang out with my friends!!! 💞"
"Anyone still need help to secure ticket in general sale? I can help, ticket under your name and self payment 🥰",,5sos Malaysia,
Thank you darling,,Gajah Malaysia,
"99% of “Animal Lovers” Are Lying
.
.
Here’s how you can help
• Adopt instead of buying
• Foster if you cannot commit long term
• Donate even RM5 to RM10 helps
• Support local shelters and rescuers
• Share this so more people see it","You don’t need to be rich or perfect to help animals
Just start somewhere",,What’s stopping people from adopting more in Malaysia?
MALAYSIA HAS THE BEST CROWD!,Stand Out Fit In - One OK Rock,detoxtourinkl,View from 302
Malaysia Penang 🇲🇾,,malaysia,
Selling a 4-year-old Sdn Bhd (Sarawak),"• Clean company (no liabilities) 
• Fully compliant with SSM 
• Ready for immediate share transfer",Malaysia Threads,Ideal for anyone looking for an aged company structure without starting from scratch.
"Kerajaan Malaysia menyasarkan gaji minimum RM 3,000 sebulan setara IDR 9 juta atau USD 1,000. Majikan ada 4 tahun lagi untuk bersedia. Huhu.",,,
"can someone get me the logic kalau “indo kawin indo tapi anak lahir kat malaysia anak terus dapat ic biru” like HOW ??? semudah itu ke kerakyatan malaysia ni ? cause if dekat negara luar, duduk 100 tahun pun belum tentu lepas untuk dapat citizenship",,,
"In Malaysia,the indian who cannot speak tamil “we call them coconut”",The chinese who cannot speak Chinese “we call them banana 🍌,,Then how about the Malay who cannot speak Malay? What we call them?
"Dari kes Zara, satu Malaysia tahu betapa korupnya kerajaan negeri sabah😂. itu baru isu korup, belum lagi racist.. fuhh",,,
Kakak Indonesia nak harga subsidi ni delusional sangat dah. Rakyat Malaysia yang pakai lebih dari 200L pon tak dapat tambahan subsidi kakak ya Allah.,"‘’Saya kerja pagi, siang, sore, malam. Hantar anak sekolah… “",,"So does all Malaysian kak.
Itu rutin semua orang not just you.
Touch some grass kak."
Posting this with her permission 🙌🏽,Yang mane yang pretending to be straight dekat her threads baik delete your comment sebelum aku expose kau publicly.,Malaysia Threads,Some of you dengan muka tak malu post kata nak try market la cuba luck la!! Ehh baik kau sedar delete!! I warn you!!
anyoneee from Indonesia watching 5sos in Malaysia????,,5sos Malaysia,
"Anyone nak section 318V Seat Numb E-17 can dm me ya, VIPPP",,5sos Malaysia,
"BEWARE OF THIS Scammer — I've tried to buy two CAT4 5SOSinKL ticket from them and they kept asking me and my friends money and when we said no and wanted our money back they demanded more money from us, be careful guys ni esk nak gi buat laporan polis",,5sos Malaysia,
OPEN FOR PREORDER NOW!,"3D Wabi Sabi Wall Frame
RM196",,50X70cm
anyoneee from Indonesia watching 5sos in Malaysia????,,5sos Malaysia,
"jom test otak pagi2 ,  Jangan google ya😌
tak tahu tembakkk je🤣🤣",1. Apakah ibu negara Australia?,Malaysia Threads,22%
Update,"Exhibition submission done✅
PostcardShow-Michael chual gallery✅
Light Up Malaysia-KLIF✅
Star Wars-Tokoart ✅",,Next
"Kuala Lumpur sunsets, and the moments that made this week💫",,Malaysia Threads,
Open vacancy area Klang 📣,"📱Position: Retail Sales Assistant (Compasia Malaysia)
📍Location: Lotus Klang
💰Salary: RM2300 + Commission (Up to 5k)",,"💼Experiences in Retail & Sales
🎥Able to create content & host Tiktok live
🕒Can work on shift & weekend
(9:30am-6:30pm, 11am-8pm, 1pm-10pm)
📆5 working days, 2 days off"
"pada mata aku kan kt Malaysia ni.. indian ni cantikk sgt . 
pure indian = cantik
melayu mix indian = cantik
Chinese mix indian = cantik
aku minat betul dgn feature face dorang . manis , hidung mancung . bulu mata lentik . mata bundar . definisi cantik ni sbnarnya sbb feature face bukan sbb warna kulit .
korang mix indian atau pure indian .. cuba letak pic . i nak cuci mata tengok orang cantikk 🥰",,,
"Expats, if you moved to Malaysia for a better lifestyle… why are you still living in a box?",This one fixes that.,,
"yang tengah cari “happy
 mail” snail mail club, hii i’m yasmin, sekarang tengah buka sign up untuk bulan may ni for my mailclub, ☺️✨ due to irregular postal service by PosMalaysia, kita open sign up for new members dengan registered mail by default ✨ this helps you to monitor your mail journey also u x perlu risau mail tu dekat mana stucked or hilang or etc.",,,
"Hellu..a lil heads up, ive signed the petition yesterday. You should too. Hope this can help as for now to bring babies DAK home ? InsyaAllah ..
Thanks for sharing you kind hearted souls. 🐘🤍","Sign Petition: Protect Malaysia’s Elephants: Return Dara, Amoi and Kelat and Stop Wildlife Transfers Overseas",Gajah Malaysia,
"Guys, please if you guys have any info, i booked 2 tickets and all of it under 1 name, will there be any form to fill about other atendee or how?",,5sos Malaysia,
"Hi, I’m a film photographer based in Malaysia & Thailand
I want my photos to reach more people overseas!",,Malaysia Threads,
Anyone nak CAT4 row B 1x?,,5sos Malaysia,
We’re looking for a social media intern. Immediate start.,"If your camera roll is full of “maybe content”, your Notes app is chaos, and your first instinct is “wait, don’t post yet, there’s a better caption”, we should talk.",internship,"You’ll jump into shoots, content planning, idea bouncing, and the fun of making things people actually stop scrolling for."
"Must Try Famous Fluffy Donuts in Penang, Malaysia",,,
"perempuan konoha kalau dtg Malaysia nak cari laki sebab nak ic, please sondol laki cina or indian je. Laki melayu banyak sampah & biawak hidup. Buat rugi ja kamu dtg sini",,,
Hutan kita berumur 130 juta tahun. lagi tua dari Amazon. Tapi kita? Lagi kenal jalan kat Seoul daripada jalan masuk ke jantung negara sendiri.,"Kalau saya cakap kita ada fossil dinosaur di Malaysia pun, awak mesti tak tahu.",,
"Kata org thread sempoi 
Jom la friend dgn saya
Tak sampai 1000 lagi ni kawan2 di thread saya ni",,Malaysia Threads,
"Stargazer House is a 1,900 sq ft home in Malaysia, designed for a small family. A central courtyard opens to the sky, bringing light and air into the heart of the house. Living area, kitchen, swimming pool, and courtyard flow as one communal space, while three private bedrooms connect visually to the garden. Built with conventional materials & techniques, the design focuses on spatial experience and affordability.",Designed by Greydept,,"Photographed by
Ameen Deen & 750Shot"
"DAESUNG will be performing at ASIATOP Music Festival in Malaysia 🇲🇾
大声将会出演马来西亚的 ASIATOP音乐节🇲🇾","🗓️ 30/05/2026
📍 Sepang International Circuit
⭐ Line-up | 阵容: 
DAESUNG, WINNER, NMIXX, KUN, NexT1DE, AINA ABDUL, Belle Sisoski, Win Metawin",DAESUNG,
After 6 years living in malaysia i just realised  actually malaysia a country built by a Chinese people. The malays looks like a minority.,,,
"I just wanted 1 aesthetic plant…
Now I have trauma 😭🌱","Google: “water weekly”
BRO WEEKLY WHERE?? 😭",Plant Threads,"Then I realised most plant advice is for overseas weather, not Malaysia ☀️💦"
"anyone interested ? korean and japanese translated books. semua baru ye, all original books in mint unread condition. boleh pickup from maluri cheras.","take one for rm35 saje
take any 3 rm100, subsequent books rm30.
jual murah murah saje",BookSale,"postage for 1 to 2 books rm10 semenanjung, 3 to 9 books rm15, 10 books above rm20."
"If I had to choose one city in Malaysia to retire and settle down in, Kota Kinabalu would definitely be on the list. It’s very livable.",It has the kind of lifestyle that makes you slow down without feeling bored.,kotakinabalu,"> easy to touch grass
> sunsets that actually make you stop scrolling
> small-town pace, but not too quiet
> people are generally warm, chill, and easy to approach
> not too rushed, not too heavy, not trying too hard."
It was epic 3 days in Kuala Lumpur during the rain rave music festival 2026.,And amazing team work and artist support by,Rain Rave Water Music Festival 2026,that how passionate and professional they are. 👍🏻
"I ada 2x extra standing tickets to let go!
Trusted✅
Can check my thread for my history of proof of purchases",,5sos Malaysia,
hello nak cat 4 3x pleaseeeeee lmk if anyone hasss!,,5sos Malaysia,
Malaysia🇲🇾❤️,,,
Countries with the most Indonesians 🇮🇩,"1. 🇲🇾 Malaysia — 10,000,000
2. 🇳🇱 Netherlands — 1,700,000
3. 🇸🇦 Saudi Arabia — 1,500,000
4. 🇸🇬 Singapore — 500,000
5. 🇿🇦 South Africa — 300,000
6. 🇹🇼 Taiwan — 300,000
7. 🇯🇵 Japan — 230,689
8. 🇭🇰 Hong Kong — 200,000
9. 🇺🇸 United States — 145,031
10. 🇦🇪 United Arab Emirates — 111,987",,
Haloooo i have 1 extra CAT 5 tickets sebab ada backout buyer tetibe hadeh🙃 anyone yang nak? With rm50 service charge,,5sos Malaysia,
alhamdulilah secured my tix! ur girl is officially seeing the boys again after 10 whole ass years wjsjwjshsj 😭🤟🏼🫂,,5sos Malaysia,
It's my turn!,,5sos Malaysia,
Hi guyss i have extra vip standing to sell!!! (i guna ts for this one and i managed to upgrade it to vip seated huhuhu) Dm me for more info,,5sos Malaysia,
"yay, I secured my tickets!!!",,5sos Malaysia,
Sharing is caring 🤍,Tips for Newbie Tiktok Affiliate Malaysia,Audio is muted,Audio is muted
